artist,title,lyrics
selena-gomez,i got u   selena gomez    ,i picked you out in a crowd of a thousand faces yeah  i found you  ooh i chose the whys and the whens  all the random places yeah  i chose you  ooh i let you see me let you believe it was your move so smooth my rules well  you think you are the one who got me  boy but i got you ive been playing with you like a little toy yeah  i got you i got you youd be surprised all the times i almost told you but i stayed cool  ooh i almost broke  but i knew i would get to hold you cause im no fool  ooh you came up to me and did the very thing i knew that you do  ooh well  you think you are the one who got me  boy but i got you ive been playing with you like a little toy yeah  i got you i got you you gave me all control  i got you i took your heart and soul  i got you for me  im going to roll i got you  you  you i got you  ooh yeah i got you and i love it i got you yeah  i got you i got you and i love it i got you yeah  i got you well  you think you are the one who got me  boy but i got you ive been playing with you like a little toy yeah  i got you i got you and i love it i got you yeah  i got you i got you and i love it i got you yeah  i got you i got you and i love it i got you yeah  i got you
selena-gomez,selena gomez   the scene   a year without rain  ,can you feel me when i think about you  with every breath i take every minute  no matter what i do my world is an empty place like ive been wondering the desert for a thousand days dont know if its a mirage  but i always see your face  baby im missing you so much cant help it  im in love a day without you is like a year without rain i need you by my side dont know how ill survive a day without you is like a year without rain  oh whoa whoa the stars are burning  i hear your voice in my mind cant you hear me calling  my heart is yearning  like the ocean thats running dry catch me im falling its like the ground is crumbling underneath my feet wont you save me  theres gonna be a monsoon when you get back to me oh  baby im missing you so much cant help it  im in love a day without you is like a year without rain i need you by my side dont know how ill survive a day without you is like a year without rain  oh whoa whoa so let this drought come to an end and make this desert flower again im so glad you found me stick around me baby  baby  baby  ooh its a world of wonder with you in my life so hurry  baby  dont waste no more time and i need you here i cant explain  but day without you is like a year without rain  oh whoa whoa im missing you so much cant help it  im in love a day without you is like a year without rain i need you by my side dont know how ill survive a day without you is like a year without rain  oh whoa whoa
selena-gomez,pixie lott   we own the night  ,is it alright if im with you for the night   hope you dont mind if you stay by my side  we can drive in your car  somewhere into the dark pull over and watch the stars  we can dance  we can sing  do whatever you think as long as im with you when we are together  its the time of our lives we can do whatever  be whoever we like spend the weekend dancing  cause we sleep when we die dont have to worry about nothing we own the night   we own the night   we own the night   we own the night   its all a blur its getting late  but i don t care  i dont know where well end up and thats okay we can drive in your car  somewhere into the dark pull over and watch the stars we can dance  we can sing  do whatever you think as long as im with you  when we are together  its the time of our lives we can do whatever  be whoever we like spend the weekend dancing  cause we sleep when we die dont have to worry about nothing we own the night   we own the night   nothing lasts forever lets live it up when were together nothing lasts forever so lets live it up  just do whatever when we are together  its the time of our lives we can do whatever  be whoever we like spend the weekend dancing  cause we sleep when we die dont have to worry about nothing we own the night  when we are together  its the time of our lives we can do whatever  be whoever we like spend the weekend dancing  cause we sleep when we die dont have to worry about nothing we own the night   we own the night   we own the night   we own the night 
selena-gomez,charlie puth   we don t talk anymore  ,we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore  like we used to do i just heard you found the one youve been looking youve been looking for i wish i would have known that wasnt me cause even after all this time i still wonder why i cant move on just the way you did so easily dont wanna know what kind of dress youre wearing tonight if hes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore  like we used to do i just hope youre lying next to somebody who knows how to love you like me there must be a good reason that youre gone every now and then i think you might want me to come show up at your door but im just too afraid that ill be wrong dont wanna know if youre looking into her eyes if shes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore  we dont talk anymore  like we used to do we dont love anymore  what was all of it for   oh  we dont talk anymore  like we used to do like we used to do dont wanna know what kind of dress youre wearing tonight if hes giving it to you just right the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore  we dont talk anymore  like we used to do we dont love anymore  what was all of it for   oh  we dont talk anymore  like we used to do dont wanna know what kind of dress youre wearing tonight  if hes holding onto you so tight  the way i did before i overdosed shouldve known your love was a game  now i cant get you out of my brain  oh  its such a shame that we dont talk anymore
selena-gomez,as a blond   fefe dobson    ,i was looking in the mirror tryna find a new reflection wanna take the road less travelled down a different direction make some new mistakes forget the ones ive made cry some tears of joy and dress more like a boy and come back as a blonde try a different lipstick on as a blonde  will i get whatever i want  i ll be ever so enticing cake  a lot of icing never have to watch my weight yeah  when im gone im gonna come back as a blonde i wanna meet myself as someone else just to see what it feels like take a walk on the other side cause you know that i just might break some different hearts finish what i start im not gonna wait and mess around with fate and come back as a blonde try a different lipstick on as a blonde  will i get whatever i want  i ll be ever so enticing cake  a lot of icing never have to watch my weight yeah  when im gone im gonna come back as a blonde im tainted im tired of being the same  yeah im desperate  i m bored im begging for change what if you re normal and wanna be strange  come back  come back  come back i wanna come back  come back  come back as a blonde try a different lipstick on as a blonde  will i get whatever i want  i ll be ever so enticing cake  a lot of icing never have to watch my weight yeah  when im gone im gonna come back as a blonde wave my magic wand as a blonde  will i get whatever i want  i ll be ever so enticing down a lot of ice cream never even wipe my face yeah  when i m gone i m gonna come back  come back  come back come back  come back  come back come back  come back  come back as a blonde
selena-gomez,future   love you better  official   ,i told  i told  i told myself again im never running back on what i said trying not to roam but youre so far away so far away wont listen to the conscience in my head im conscious but im lonely  halfway dead tired of the things you never you never said  you never said our love was made to rule the world you came and broke the perfect girl our love was made to rule the world our love was made to rule the world you left me wanting what we were our love was made to rule the world forget forever forget forever forget you ever knew my name my name  my name  my name i know  i know  i know we cant pretend that we were never lovers in the end i try to tell myself this pain would go away just go away our love was made to rule the world you came and broke the perfect girl our love was made to rule the world our love was made to rule the world you left me wanting what we were our love was made to rule the world forget forever forget forever forget you ever knew my name my name  my name  my name forget forever forget you ever knew my name our love was made to rule the world you came and broke the perfect girl our love was made to rule the world our love made to rule the world forget forever forget forever forget you ever knew my name my name  my name  my name
selena-gomez,charlie puth   we don t talk anymore  ,we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do  do  do we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do i just hope youre lying next to somebody who knows how to love you like me there must be a good reason that youre gone every now and then i think you might want me to come show up at your door but im just too afraid that ill be wrong dont wanna know if youre looking into her eyes if shes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do  do  do like we used to do dont wanna know if youre looking into her eyes if shes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do we dont talk anymore  oh  oh we dont talk anymore  oh  oh we dont talk anymore  oh  whoa we dont talk anymore
selena-gomez,charlie puth   we don t talk anymore  ,we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore  like we used to do i just heard you found the one youve been looking youve been looking for i wish i would have known that wasnt me cause even after all this time i still wonder why i cant move on just the way you did so easily dont wanna know what kind of dress youre wearing tonight if hes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore  like we used to do dont wanna know what kind of dress youre wearing tonight if hes giving it to you just right the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore  like we used to do we dont talk anymore  ohhh the way i did before we dont talk anymore  woah  woah  woah that we dont talk anymore
selena-gomez,selena gomez   marshmello   wolves      ,in your eyes  theres a heavy blue one to love  and one to lose sweet divide  a heavy truth water or wine  dont make me choose i wanna feel the way that we did that summer night  night drunk on a feeling  alone with the stars in the sky ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you to get to you ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you your fingertips trace my skin to places i have never been blindly  i am following break down these walls and come on in i wanna feel the way that we did that summer night  night drunk on a feeling  alone with the stars in the sky ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you to get to you ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you
selena-gomez,new classic  single     ,ever try to reach for something but its someone elses dream  every step that you take forward it takes you right back where you been and then when you least expect it and youve tried about everything somebody hears your opinions somebody cares what you see you woke me up no longer tired with you i feel inspired you help me find my fire youre the new classic youre the new pyt stands for paid  young and taking on the world from the drivers seat you look so classic  fantastic when youre on that floor bring the beat back once more let me see you do that oh trying to do it right no rehearsals its your life if youre doing this crazy dance cause your making these crazy plans ts just this is not a test you put in work to be the best its a classic take on a brand new game before the needle drops theyre gonna know your name when it gets old dont lose the light youre cold  ill warm you up your fire is hot enough  enough  enough youre the new classic youre the new pyt stands for paid  young and trying everything just to touch your dreams you look so classic  fantastic oh when youre on that floor bring the beat back once more let me see you do that its become so hard for me to be surprised youre bringing back the real me no judgment in your eyes cause when i dance with you its how i speak the truth just classic when we met now you make me new youre the new classic youre the new pyt stands for paid  young and taking on the world from the drivers seat you look so classic  fantastic when you on that floor bring the beat back once more youre the new classic youre the new pyt stands for paid  young and taking on the world from the drivers seat you look so classic  fantastic when youre on that floor bring the beat back once more bring it back  bring it back let me see you do that youre the new classic youre the new pyt stands for paid  young and taking on the world from the drivers seat youre the new classic  fantastic when youre on that floor bring the beat back once more let me see you do that
